name,year,shot_made_flag,isClutch,shot_distance,defender_distance,defender_height,action_type,dribbles,touch_time
Gerald Green,2014,1,0,24,4.1,75.0,Jump Shot,0,0.9
Gerald Green,2014,1,0,24,5.6,82.0,Jump Shot,0,1.2
Gerald Green,2014,1,0,24,5.6,82.0,Jump Shot,0,0.6
Gerald Green,2014,1,0,24,4.0,84.0,Jump Shot,3,3.4
Gerald Green,2014,1,0,25,4.5,79.0,Jump Shot,0,0.8
Gerald Green,2014,1,0,25,9.8,77.0,Jump Shot,2,2.4
Goran Dragic,2014,1,0,24,4.2,75.0,Jump Shot,0,1.4
Michael Beasley,2014,1,0,23,4.8,83.0,Jump Shot,0,0.7
Mario Chalmers,2014,1,0,23,1.2,74.0,Jump Shot,0,0.6
Chris Bosh,2014,0,0,25,2.5,83.0,Jump Shot,0,0.6
Chris Bosh,2014,1,0,25,6.2,77.0,Jump Shot,0,1.0
Manu Ginobili,2014,0,0,25,4.0,74.0,Jump Shot,0,0.9
Danny Green,2014,1,0,24,3.8,74.0,Jump Shot,0,0.7
Danny Green,2014,1,0,25,3.6,76.0,Jump Shot,0,0.8
Pero Antic,2014,1,0,25,2.8,76.0,Jump Shot,0,4.0
Pero Antic,2014,1,0,24,6.5,84.0,Jump Shot,0,1.0
DeMarre Carroll,2014,1,0,22,13.5,83.0,Jump Shot,0,1.1
Mo Williams,2014,1,0,24,3.4,73.0,Jump Shot,12,10.4
Damian Lillard,2014,1,0,24,4.1,75.0,Jump Shot,0,1.1
Nicolas Batum,2014,1,0,24,3.8,78.0,Jump Shot,0,2.1
Nicolas Batum,2014,1,0,22,7.1,75.0,Jump Shot,0,0.0
Nicolas Batum,2014,1,0,25,11.4,79.0,Jump Shot,0,0.8
Mo Williams,2014,1,0,24,5.6,75.0,Jump Shot,0,0.8
CJ McCollum,2014,0,0,24,7.0,75.0,Jump Shot,0,1.0
Damian Lillard,2014,1,0,24,5.7,75.0,Jump Shot,0,0.8
Wesley Matthews,2014,1,0,24,12.9,78.0,Jump Shot,0,0.8
Damian Lillard,2014,0,0,24,5.5,75.0,Jump Shot,1,1.2
Wesley Matthews,2014,0,0,24,4.1,79.0,Jump Shot,1,1.5
Vince Carter,2014,1,0,26,7.2,79.0,Jump Shot,0,0.9
Dirk Nowitzki,2014,1,0,24,4.7,80.0,Jump Shot,0,1.0
Jose Calderon,2014,1,0,24,5.1,72.0,Jump Shot,0,1.3
Ty Lawson,2014,0,0,24,4.4,75.0,Jump Shot,2,2.6
Randy Foye,2014,1,0,24,8.6,75.0,Jump Shot,0,0.8
Evan Fournier,2014,1,0,23,5.5,75.0,Jump Shot,0,0.7
Ty Lawson,2014,1,0,26,3.4,75.0,Jump Shot,2,2.2
Carmelo Anthony,2014,1,0,23,2.4,81.0,Jump Shot,0,0.8
Carmelo Anthony,2014,0,0,39,2.9,75.0,Jump Shot,1,2.9
Carmelo Anthony,2014,1,0,25,2.9,81.0,Jump Shot,0,8.3
Carmelo Anthony,2014,0,0,25,3.0,81.0,Jump Shot,6,6.1
Carmelo Anthony,2014,1,0,24,6.5,81.0,Jump Shot,0,0.8
Monta Ellis,2014,1,0,23,5.1,74.0,Jump Shot,0,0.0
Darren Collison,2014,1,0,24,4.0,71.0,Jump Shot,0,0.9
DeMarre Carroll,2014,0,0,23,4.2,82.0,Jump Shot,0,0.8
Kevin Martin,2014,0,0,25,8.8,84.0,Jump Shot,0,1.0
Chase Budinger,2014,1,0,24,14.0,77.0,Jump Shot,0,1.2
Kevin Love,2014,1,0,25,7.8,84.0,Jump Shot,0,1.4
Rudy Gay,2014,0,0,24,5.8,79.0,Jump Shot,0,0.0
Isaiah Thomas,2014,1,0,27,5.5,74.0,Jump Shot,0,1.2
Ray McCallum,2014,0,0,40,3.2,74.0,Jump Shot,1,1.4
Isaiah Thomas,2014,1,0,25,9.7,79.0,Jump Shot,0,1.1
Brandon Knight,2014,1,0,26,7.4,80.0,Jump Shot,0,0.9
Khris Middleton,2014,1,0,25,5.8,83.0,Jump Shot,2,2.8
Brandon Knight,2014,1,0,24,5.1,83.0,Jump Shot,1,1.9
Kirk Hinrich,2014,1,0,22,4.9,73.0,Jump Shot,0,0.9
Kirk Hinrich,2014,1,0,26,5.5,73.0,Jump Shot,16,14.3
Mike Dunleavy,2014,1,0,26,7.3,80.0,Jump Shot,0,0.8
Josh Smith,2014,1,0,25,2.0,79.0,Jump Shot,0,1.9
Brandon Jennings,2014,1,0,26,6.6,79.0,Jump Shot,0,1.0
