name,action_type,shot_distance,defender_distance,defender_height,dribbles,touch_time,shot_made_flag,isClutch
Ramon Sessions,Jump Shot,25.0,3.1,75.0,3.0,2.4,0.0,0.0
Paul George,Jump Shot,25.0,2.1,81.0,0.0,0.9,0.0,1.0
Paul George,Jump Shot,25.0,2.5,80.0,0.0,1.3,1.0,0.0
Paul George,Jump Shot,25.0,2.7,81.0,0.0,0.7,0.0,1.0
Paul George,Jump Shot,24.0,2.9,80.0,0.0,0.8,0.0,0.0
Caron Butler,Jump Shot,23.0,4.6,78.0,0.0,0.6,1.0,1.0
Caron Butler,Jump Shot,23.0,4.5,79.0,0.0,0.8,1.0,0.0
Mike Dunleavy,Jump Shot,26.0,3.4,74.0,0.0,0.8,0.0,1.0
Mike Dunleavy,Jump Shot,25.0,3.4,75.0,0.0,0.7,0.0,0.0
JR Smith,Jump Shot,23.0,5.8,77.0,0.0,0.8,0.0,1.0
JR Smith,Jump Shot,24.0,6.3,76.0,0.0,0.7,0.0,0.0
Nick Young,Jump Shot,26.0,3.9,82.0,0.0,0.2,0.0,1.0
Nick Young,Jump Shot,25.0,4.4,81.0,0.0,0.8,0.0,0.0
Brandon Knight,Jump Shot,26.0,4.8,76.0,3.0,3.3,1.0,1.0
Brandon Knight,Jump Shot,26.0,4.4,75.0,2.0,3.0,1.0,0.0
Trey Burke,Jump Shot,23.0,4.4,76.0,0.0,0.6,1.0,1.0
Trey Burke,Jump Shot,24.0,4.1,75.0,0.0,0.9,0.0,0.0
Trevor Ariza,Jump Shot,24.0,2.4,78.0,1.0,1.6,0.0,1.0
Trevor Ariza,Jump Shot,25.0,2.9,77.0,0.0,1.3,1.0,0.0
Jose Calderon,Jump Shot,24.0,2.5,82.0,0.0,0.8,1.0,1.0
Jose Calderon,Jump Shot,25.0,2.8,81.0,0.0,1.2,0.0,0.0
Ben McLemore,Jump Shot,24.0,8.8,79.0,1.0,1.1,1.0,1.0
Ben McLemore,Jump Shot,24.0,8.7,79.0,0.0,1.0,1.0,0.0
Jamal Crawford,Jump Shot,27.0,2.2,78.0,1.0,1.7,0.0,1.0
Jamal Crawford,Jump Shot,26.0,1.8,77.0,1.0,1.6,0.0,0.0
Wesley Matthews,Jump Shot,23.0,4.0,78.0,1.0,1.9,0.0,1.0
Wesley Matthews,Jump Shot,24.0,4.1,79.0,1.0,1.5,0.0,0.0
Jarrett Jack,Jump Shot,23.0,3.8,78.0,0.0,0.8,0.0,1.0
Jarrett Jack,Jump Shot,23.0,3.6,77.0,0.0,1.1,0.0,0.0
Nicolas Batum,Jump Shot,26.0,5.7,81.0,0.0,0.6,0.0,1.0
Nicolas Batum,Jump Shot,26.0,5.7,81.0,0.0,1.1,1.0,0.0
Kyle Lowry,Jump Shot,26.0,5.3,72.0,0.0,1.0,1.0,1.0
Kyle Lowry,Jump Shot,25.0,5.1,72.0,0.0,1.6,1.0,0.0
Andre Iguodala,Jump Shot,25.0,6.6,75.0,0.0,0.8,1.0,1.0
Andre Iguodala,Jump Shot,24.0,6.4,76.0,0.0,0.0,1.0,0.0
Russell Westbrook,Pullup Jump shot,28.0,5.3,78.0,1.0,1.6,1.0,1.0
Russell Westbrook,Pullup Jump shot,27.0,5.1,78.0,2.0,1.9,1.0,0.0
Alan Anderson,Jump Shot,23.0,4.3,81.0,0.0,0.8,1.0,1.0
Alan Anderson,Jump Shot,23.0,4.8,80.0,0.0,0.8,0.0,0.0
Kelly Olynyk,Jump Shot,26.0,5.1,75.0,0.0,1.2,0.0,1.0
Kelly Olynyk,Jump Shot,25.0,5.4,75.0,0.0,0.9,0.0,0.0
Gordon Hayward,Jump Shot,24.0,4.7,76.0,0.0,0.8,0.0,1.0
Gordon Hayward,Jump Shot,25.0,4.5,75.0,0.0,1.3,0.0,0.0
Henry Walker,Jump Shot,26.0,5.0,80.0,0.0,0.8,1.0,1.0
Henry Walker,Jump Shot,26.0,5.4,79.0,0.0,1.0,0.0,0.0
Henry Walker,Jump Shot,23.0,4.3,79.0,0.0,0.7,0.0,1.0
Henry Walker,Jump Shot,23.0,4.0,79.0,0.0,0.0,0.0,0.0
Tobias Harris,Jump Shot,22.0,8.3,80.0,0.0,0.6,1.0,1.0
Tobias Harris,Jump Shot,23.0,8.0,80.0,0.0,0.7,0.0,0.0
Chase Budinger,Jump Shot,22.0,6.9,81.0,0.0,0.9,1.0,1.0
Chase Budinger,Jump Shot,23.0,6.8,80.0,0.0,0.7,1.0,0.0
Langston Galloway,Jump Shot,25.0,5.3,73.0,0.0,0.7,1.0,1.0
Langston Galloway,Jump Shot,24.0,5.8,73.0,0.0,0.8,0.0,0.0
Mike Conley,Jump Shot,25.0,4.2,75.0,0.0,0.8,1.0,1.0
Mike Conley,Jump Shot,24.0,4.7,75.0,1.0,1.6,0.0,0.0
Kevin Martin,Jump Shot,23.0,6.4,80.0,1.0,1.7,0.0,1.0
Kevin Martin,Jump Shot,24.0,6.3,81.0,0.0,1.0,0.0,0.0
Josh Smith,Jump Shot,26.0,5.7,83.0,0.0,0.8,0.0,1.0
Josh Smith,Jump Shot,27.0,6.1,82.0,0.0,0.7,0.0,0.0
Kevin Martin,Jump Shot,25.0,2.0,74.0,0.0,1.0,0.0,1.0
Kevin Martin,Jump Shot,24.0,2.3,74.0,0.0,1.0,1.0,0.0
Norris Cole,Jump Shot,25.0,5.1,75.0,0.0,0.7,0.0,1.0
Norris Cole,Jump Shot,24.0,5.6,75.0,1.0,1.1,0.0,0.0
Lou Williams,Jump Shot,22.0,5.1,76.0,0.0,0.8,1.0,1.0
Lou Williams,Jump Shot,23.0,4.8,75.0,0.0,1.0,0.0,0.0
Ish Smith,Jump Shot,23.0,4.4,72.0,0.0,0.7,0.0,1.0
Ish Smith,Jump Shot,23.0,4.6,72.0,0.0,0.9,0.0,0.0
Kobe Bryant,Jump Shot,25.0,3.2,81.0,4.0,5.1,0.0,1.0
Kobe Bryant,Jump Shot,24.0,3.1,80.0,4.0,5.2,1.0,0.0
Gerald Green,Jump Shot,25.0,1.5,80.0,0.0,0.8,0.0,1.0
Gerald Green,Jump Shot,26.0,1.9,79.0,0.0,1.2,0.0,0.0
Ersan Ilyasova,Jump Shot,25.0,9.1,82.0,0.0,0.8,0.0,1.0
Ersan Ilyasova,Jump Shot,25.0,9.2,82.0,0.0,0.8,1.0,0.0
LeBron James,Jump Shot,26.0,2.7,78.0,0.0,0.8,0.0,1.0
LeBron James,Jump Shot,25.0,2.5,78.0,0.0,1.8,0.0,0.0
Paul Pierce,Jump Shot,26.0,2.6,79.0,0.0,1.0,0.0,1.0
Paul Pierce,Jump Shot,26.0,3.0,79.0,0.0,0.9,0.0,0.0
Khris Middleton,Jump Shot,24.0,4.3,76.0,0.0,0.5,1.0,1.0
Khris Middleton,Jump Shot,23.0,3.9,77.0,0.0,0.7,0.0,0.0
Khris Middleton,Jump Shot,26.0,3.6,80.0,1.0,1.6,0.0,1.0
Khris Middleton,Jump Shot,26.0,4.0,80.0,0.0,0.8,1.0,0.0
Russell Westbrook,Jump Shot,24.0,1.8,73.0,1.0,1.2,0.0,1.0
Russell Westbrook,Jump Shot,25.0,2.3,73.0,0.0,0.7,1.0,0.0
Isaiah Thomas,Jump Shot,24.0,6.0,77.0,0.0,0.4,0.0,1.0
Isaiah Thomas,Jump Shot,24.0,5.5,76.0,0.0,1.0,1.0,0.0
Dirk Nowitzki,Jump Shot,24.0,5.7,84.0,0.0,1.0,1.0,1.0
Dirk Nowitzki,Jump Shot,25.0,6.1,83.0,0.0,0.7,1.0,0.0
Jordan Clarkson,Jump Shot,23.0,4.0,76.0,1.0,1.3,0.0,1.0
Jordan Clarkson,Jump Shot,24.0,4.2,75.0,0.0,0.9,0.0,0.0
Gordon Hayward,Jump Shot,24.0,4.2,79.0,0.0,2.2,0.0,1.0
Gordon Hayward,Jump Shot,25.0,3.8,80.0,1.0,1.7,1.0,0.0
Mike Conley,Jump Shot,26.0,3.9,75.0,17.0,14.8,0.0,1.0
Mike Conley,Jump Shot,26.0,4.1,75.0,17.0,15.6,0.0,0.0
Jeremy Lin,Jump Shot,24.0,4.7,74.0,2.0,2.7,0.0,1.0
Jeremy Lin,Jump Shot,24.0,4.5,75.0,1.0,2.0,1.0,0.0
Henry Walker,Jump Shot,26.0,7.6,79.0,0.0,1.0,1.0,1.0
Henry Walker,Jump Shot,25.0,8.1,80.0,0.0,1.0,0.0,0.0
Dirk Nowitzki,Jump Shot,24.0,9.5,79.0,0.0,0.8,1.0,1.0
Dirk Nowitzki,Jump Shot,24.0,9.7,79.0,0.0,0.7,1.0,0.0
DeMarre Carroll,Jump Shot,23.0,4.5,79.0,0.0,0.7,0.0,1.0
DeMarre Carroll,Jump Shot,22.0,4.8,79.0,0.0,1.0,1.0,0.0
Bojan Bogdanovic,Jump Shot,24.0,4.3,78.0,0.0,0.9,0.0,1.0
Bojan Bogdanovic,Jump Shot,23.0,4.7,79.0,0.0,0.6,0.0,0.0
Jarrett Jack,Jump Shot,23.0,4.0,76.0,0.0,1.0,0.0,1.0
Jarrett Jack,Jump Shot,24.0,4.4,75.0,0.0,1.1,0.0,0.0
Anthony Tolliver,Jump Shot,27.0,3.4,80.0,0.0,0.7,0.0,1.0
Anthony Tolliver,Jump Shot,26.0,3.9,80.0,0.0,0.8,0.0,0.0
Lance Thomas,Jump Shot,22.0,3.5,79.0,0.0,0.6,0.0,1.0
Lance Thomas,Jump Shot,23.0,3.8,78.0,0.0,0.7,0.0,0.0
Steve Blake,Jump Shot,22.0,4.9,78.0,0.0,0.7,0.0,1.0
Steve Blake,Jump Shot,23.0,5.0,79.0,0.0,0.8,1.0,0.0
Damjan Rudez,Jump Shot,23.0,5.2,76.0,0.0,0.9,1.0,1.0
Damjan Rudez,Jump Shot,23.0,5.4,77.0,0.0,1.0,1.0,0.0
Caron Butler,Jump Shot,24.0,3.6,75.0,0.0,1.2,1.0,1.0
Caron Butler,Jump Shot,24.0,3.6,75.0,0.0,0.9,0.0,0.0
Rudy Gay,Jump Shot,25.0,10.2,79.0,0.0,1.0,0.0,1.0
Rudy Gay,Jump Shot,25.0,10.1,80.0,0.0,0.8,1.0,0.0
Kyrie Irving,Jump Shot,25.0,3.7,79.0,1.0,1.3,1.0,1.0
Kyrie Irving,Jump Shot,24.0,3.7,79.0,0.0,0.7,1.0,0.0
Danny Green,Jump Shot,25.0,6.5,78.0,0.0,1.0,1.0,1.0
Danny Green,Jump Shot,24.0,6.5,79.0,0.0,0.8,1.0,0.0
Trey Burke,Jump Shot,25.0,2.7,79.0,1.0,1.5,0.0,1.0
Trey Burke,Jump Shot,25.0,3.1,79.0,0.0,1.1,0.0,0.0
Trey Burke,Jump Shot,25.0,4.1,71.0,0.0,0.8,0.0,1.0
Trey Burke,Jump Shot,26.0,4.3,72.0,0.0,0.7,0.0,0.0
Reggie Jackson,Jump Shot,23.0,7.5,73.0,0.0,0.9,0.0,1.0
Reggie Jackson,Jump Shot,24.0,7.1,73.0,0.0,1.0,0.0,0.0
Mario Chalmers,Jump Shot,25.0,3.2,77.0,0.0,1.5,0.0,1.0
Mario Chalmers,Jump Shot,24.0,3.1,78.0,0.0,0.8,0.0,0.0
JJ Redick,Jump Shot,24.0,1.7,77.0,0.0,0.0,0.0,1.0
JJ Redick,Jump Shot,24.0,1.6,77.0,0.0,0.7,0.0,0.0
Chris Bosh,Jump Shot,26.0,4.4,84.0,0.0,0.9,0.0,1.0
Chris Bosh,Jump Shot,25.0,4.4,83.0,0.0,0.9,1.0,0.0
Monta Ellis,Jump Shot,25.0,4.0,81.0,1.0,2.0,0.0,1.0
Monta Ellis,Jump Shot,24.0,4.2,80.0,0.0,1.0,1.0,0.0
Quincy Pondexter,Jump Shot,24.0,7.8,83.0,0.0,0.8,0.0,1.0
Quincy Pondexter,Jump Shot,24.0,7.8,82.0,0.0,0.8,0.0,0.0
Paul Pierce,Jump Shot,25.0,4.6,78.0,0.0,1.5,0.0,1.0
Paul Pierce,Jump Shot,26.0,4.2,78.0,1.0,2.4,1.0,0.0
Pablo Prigioni,Jump Shot,24.0,5.2,74.0,0.0,0.9,0.0,1.0
Pablo Prigioni,Jump Shot,25.0,4.7,73.0,0.0,0.8,0.0,0.0
Wesley Matthews,Jump Shot,25.0,9.6,79.0,0.0,0.7,0.0,1.0
Wesley Matthews,Jump Shot,24.0,9.8,79.0,0.0,1.3,0.0,0.0
Vince Carter,Jump Shot,26.0,3.8,78.0,0.0,0.6,0.0,1.0
Vince Carter,Jump Shot,25.0,4.0,77.0,0.0,1.0,0.0,0.0
Chandler Parsons,Jump Shot,27.0,4.2,80.0,0.0,0.7,0.0,1.0
Chandler Parsons,Jump Shot,27.0,4.7,79.0,0.0,1.0,1.0,0.0
Jeff Green,Jump Shot,27.0,3.8,80.0,0.0,1.0,0.0,1.0
Jeff Green,Jump Shot,26.0,3.7,79.0,0.0,1.0,0.0,0.0
Nik Stauskas,Jump Shot,24.0,3.6,76.0,2.0,2.8,0.0,1.0
Nik Stauskas,Jump Shot,24.0,4.1,76.0,3.0,2.2,0.0,0.0
Ryan Anderson,Jump Shot,24.0,5.2,78.0,0.0,0.6,0.0,1.0
Ryan Anderson,Jump Shot,23.0,4.9,77.0,0.0,0.7,0.0,0.0
Patrick Patterson,Jump Shot,26.0,19.2,80.0,0.0,0.8,1.0,1.0
Patrick Patterson,Jump Shot,25.0,18.7,80.0,0.0,0.8,0.0,0.0
Victor Oladipo,Jump Shot,23.0,5.0,73.0,0.0,0.8,0.0,1.0
Victor Oladipo,Jump Shot,24.0,5.1,73.0,0.0,0.8,0.0,0.0
Kyle Korver,Jump Shot,25.0,1.4,79.0,0.0,0.8,1.0,1.0
Kyle Korver,Jump Shot,25.0,1.9,79.0,1.0,1.3,0.0,0.0
Ben McLemore,Jump Shot,25.0,11.6,75.0,0.0,1.0,0.0,1.0
Ben McLemore,Jump Shot,24.0,11.2,76.0,0.0,0.6,0.0,0.0
Paul Pierce,Jump Shot,25.0,4.7,80.0,0.0,1.0,1.0,1.0
Paul Pierce,Jump Shot,26.0,4.5,79.0,0.0,0.8,0.0,0.0
Steve Blake,Jump Shot,24.0,6.0,78.0,0.0,0.8,0.0,1.0
Steve Blake,Jump Shot,24.0,6.3,78.0,0.0,0.9,1.0,0.0
CJ Miles,Jump Shot,27.0,4.9,75.0,0.0,0.7,0.0,1.0
CJ Miles,Jump Shot,27.0,5.2,74.0,0.0,0.7,1.0,0.0
Monta Ellis,Jump Shot,24.0,8.7,80.0,0.0,0.9,0.0,1.0
Monta Ellis,Jump Shot,25.0,8.6,79.0,0.0,1.2,1.0,0.0
Mike Conley,Jump Shot,26.0,5.8,78.0,0.0,0.6,1.0,1.0
Mike Conley,Jump Shot,27.0,6.0,77.0,0.0,0.8,0.0,0.0
Dante Exum,Jump Shot,24.0,7.8,83.0,0.0,0.8,0.0,1.0
Dante Exum,Jump Shot,24.0,7.8,83.0,0.0,1.1,0.0,0.0
Jared Dudley,Jump Shot,24.0,5.0,73.0,0.0,0.7,1.0,1.0
Jared Dudley,Jump Shot,25.0,4.8,72.0,0.0,0.6,0.0,0.0
Serge Ibaka,Jump Shot,25.0,4.4,77.0,0.0,0.7,0.0,1.0
Serge Ibaka,Jump Shot,26.0,4.6,78.0,0.0,1.1,0.0,0.0
Danny Green,Jump Shot,25.0,4.5,73.0,0.0,0.7,1.0,1.0
Danny Green,Jump Shot,24.0,4.2,74.0,0.0,1.1,1.0,0.0
Arron Afflalo,Jump Shot,26.0,3.4,73.0,0.0,0.7,1.0,1.0
Arron Afflalo,Jump Shot,27.0,3.8,74.0,0.0,1.2,1.0,0.0
Danny Green,Jump Shot,24.0,1.8,74.0,2.0,1.4,0.0,1.0
Danny Green,Jump Shot,24.0,2.3,73.0,1.0,1.9,0.0,0.0
Gordon Hayward,Jump Shot,24.0,8.7,79.0,0.0,0.0,0.0,1.0
Gordon Hayward,Jump Shot,25.0,8.3,79.0,0.0,0.9,1.0,0.0
Anthony Morrow,Jump Shot,24.0,3.3,75.0,1.0,1.0,0.0,1.0
Anthony Morrow,Jump Shot,24.0,3.3,75.0,0.0,0.6,0.0,0.0
Kobe Bryant,Jump Shot,24.0,5.2,79.0,1.0,1.6,0.0,1.0
Kobe Bryant,Jump Shot,24.0,5.0,80.0,0.0,1.4,1.0,0.0
Kobe Bryant,Jump Shot,25.0,1.8,79.0,0.0,0.5,0.0,1.0
Kobe Bryant,Jump Shot,26.0,2.3,79.0,0.0,0.7,0.0,0.0
Danilo Gallinari,Jump Shot,27.0,2.9,81.0,0.0,1.0,0.0,1.0
Danilo Gallinari,Jump Shot,26.0,3.1,82.0,0.0,0.8,0.0,0.0
Rodney Hood,Jump Shot,25.0,3.3,77.0,0.0,0.7,0.0,1.0
Rodney Hood,Jump Shot,24.0,3.1,78.0,1.0,1.7,0.0,0.0
Eric Bledsoe,Jump Shot,25.0,5.1,77.0,2.0,2.9,0.0,1.0
Eric Bledsoe,Jump Shot,24.0,4.9,76.0,2.0,2.8,1.0,0.0
Eric Gordon,Jump Shot,27.0,4.6,74.0,0.0,0.9,0.0,1.0
Eric Gordon,Jump Shot,26.0,4.8,75.0,1.0,0.9,1.0,0.0
Jared Dudley,Jump Shot,24.0,6.8,78.0,0.0,0.8,0.0,1.0
Jared Dudley,Jump Shot,25.0,7.3,79.0,0.0,0.9,0.0,0.0
Jeff Green,Jump Shot,22.0,2.3,78.0,0.0,0.7,0.0,1.0
Jeff Green,Jump Shot,23.0,2.6,79.0,0.0,1.0,0.0,0.0
Trevor Ariza,Jump Shot,24.0,4.8,75.0,0.0,0.7,1.0,1.0
Trevor Ariza,Jump Shot,24.0,4.4,75.0,1.0,0.9,0.0,0.0
Paul George,Jump Shot,24.0,7.0,79.0,0.0,0.8,0.0,1.0
Paul George,Jump Shot,24.0,7.2,79.0,0.0,0.8,0.0,0.0
Robert Covington,Jump Shot,26.0,3.5,77.0,1.0,1.4,0.0,1.0
Robert Covington,Jump Shot,26.0,3.5,78.0,0.0,0.9,1.0,0.0
Danilo Gallinari,Jump Shot,26.0,5.0,80.0,0.0,1.2,0.0,1.0
Danilo Gallinari,Jump Shot,25.0,5.5,79.0,0.0,1.4,1.0,0.0
Russell Westbrook,Jump Shot,25.0,3.0,75.0,2.0,1.3,0.0,1.0
Russell Westbrook,Jump Shot,24.0,3.3,74.0,1.0,2.1,1.0,0.0
Monta Ellis,Jump Shot,24.0,4.6,79.0,0.0,0.5,0.0,1.0
Monta Ellis,Jump Shot,25.0,4.8,79.0,0.0,0.8,0.0,0.0
Avery Bradley,Jump Shot,25.0,3.5,80.0,1.0,1.9,0.0,1.0
Avery Bradley,Jump Shot,24.0,4.0,79.0,1.0,1.2,0.0,0.0
Jason Terry,Jump Shot,23.0,6.4,76.0,0.0,0.8,0.0,1.0
Jason Terry,Jump Shot,23.0,6.8,75.0,0.0,0.8,0.0,0.0
Jrue Holiday,Jump Shot,27.0,4.4,75.0,1.0,1.4,1.0,1.0
Jrue Holiday,Jump Shot,26.0,4.5,75.0,1.0,2.1,1.0,0.0
Kevin Durant,Jump Shot,25.0,4.7,80.0,0.0,0.6,1.0,1.0
Kevin Durant,Jump Shot,24.0,4.2,80.0,0.0,0.7,0.0,0.0
Kemba Walker,Jump Shot,26.0,4.2,75.0,0.0,0.6,1.0,1.0
Kemba Walker,Jump Shot,25.0,3.7,74.0,0.0,1.1,1.0,0.0
Danilo Gallinari,Jump Shot,23.0,4.8,81.0,0.0,0.8,0.0,1.0
Danilo Gallinari,Jump Shot,23.0,4.3,82.0,0.0,1.2,1.0,0.0
Kobe Bryant,Jump Shot,27.0,3.9,80.0,1.0,1.3,0.0,1.0
Kobe Bryant,Jump Shot,26.0,3.4,79.0,0.0,1.0,0.0,0.0
Kevin Durant,Jump Shot,25.0,2.8,81.0,1.0,1.6,0.0,1.0
Kevin Durant,Jump Shot,25.0,3.3,81.0,0.0,0.7,1.0,0.0
Chandler Parsons,Jump Shot,23.0,3.3,80.0,1.0,2.0,0.0,1.0
Chandler Parsons,Jump Shot,24.0,3.7,81.0,0.0,1.0,0.0,0.0
Shabazz Muhammad,Jump Shot,24.0,5.5,75.0,0.0,0.9,0.0,1.0
Shabazz Muhammad,Jump Shot,23.0,5.2,74.0,0.0,0.7,0.0,0.0
Trevor Ariza,Jump Shot,25.0,3.2,75.0,1.0,1.5,0.0,1.0
Trevor Ariza,Jump Shot,25.0,3.3,75.0,0.0,1.1,0.0,0.0
Rodney Hood,Jump Shot,24.0,3.8,78.0,1.0,1.7,0.0,1.0
Rodney Hood,Jump Shot,23.0,3.4,77.0,2.0,2.0,0.0,0.0
Charlie Villanueva,Jump Shot,23.0,8.8,84.0,0.0,0.7,0.0,1.0
Charlie Villanueva,Jump Shot,23.0,8.5,83.0,0.0,0.7,0.0,0.0
Nicolas Batum,Jump Shot,26.0,3.1,79.0,0.0,0.7,0.0,1.0
Nicolas Batum,Jump Shot,25.0,2.6,79.0,0.0,0.8,1.0,0.0
Kawhi Leonard,Jump Shot,24.0,3.8,76.0,1.0,1.4,1.0,1.0
Kawhi Leonard,Jump Shot,25.0,4.0,75.0,0.0,0.8,0.0,0.0
Avery Bradley,Jump Shot,26.0,3.8,75.0,0.0,0.8,1.0,1.0
Avery Bradley,Jump Shot,26.0,4.0,75.0,0.0,0.8,0.0,0.0
